Team                Time (hh:mm:ss)     
TJV                 174:48:57
TBM                 175:00:11
MOV                 175:03:58
ARK                 176:14:21
AST                 176:23:09
TFS                 176:23:46
MTS                 176:28:20
EFN                 176:43:24
UAD                 177:10:04
IGD                 177:12:35
COF                 177:31:58
GFC                 178:02:20
ACT                 178:37:20
BVC                 178:42:53
BOH                 179:17:46
DQT                 179:32:51
IWG                 180:14:27
DSM                 180:41:10
ISN                 180:47:47
TDE                 181:38:09
TQA                 182:56:14
LTS                 183:15:13
